filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
FAR09416_pass_b2a717df_664.fast5	b14845d7-4772-4a8b-8d94-264da6fcd23f	b2a717df255266c1428d6ef9ef7f36db102942b3	231	167	2	86618.446000	61.891000	49512	TRUE	86618.446000	49512	61.891000	30996	11.044028	3.264699	76.532478	10.056606	76.532478	10.056606
FAR09416_pass_b2a717df_786.fast5	9dc0793e-e342-442d-9cc9-7210f6e1722d	b2a717df255266c1428d6ef9ef7f36db102942b3	236	350	4	106085.115500	5.376000	4300	TRUE	106085.128000	4290	5.363500	2286	11.980244	3.150721	64.430458	8.181646	64.430458	8.181646
FAR09416_pass_b2a717df_685.fast5	fe75a940-2a9e-4ff0-a1fd-d1815995b0f3	b2a717df255266c1428d6ef9ef7f36db102942b3	242	103	1	89742.831750	12.356500	9885	TRUE	89742.841750	9877	12.346500	4566	10.569617	2.965521	68.180382	8.352097	68.180382	8.352097
FAR09416_pass_b2a717df_563.fast5	6dd4414b-5fab-4df7-9657-72e552f6dfba	b2a717df255266c1428d6ef9ef7f36db102942b3	247	383	1	72077.693250	45.183250	36146	TRUE	72077.722000	36123	45.154500	17566	12.869058	3.106109	75.850677	9.545254	75.850677	9.545254
FAR09416_pass_b2a717df_453.fast5	ab69a006-004c-464b-aca2-a8c7a858bb9b	b2a717df255266c1428d6ef9ef7f36db102942b3	248	185	3	56994.351500	13.851000	11080	TRUE	56994.374000	11062	13.828500	6715	11.333716	3.230739	55.737461	7.499842	55.737461	7.499842
FAR09416_pass_b2a717df_894.fast5	a07dd2af-cb61-4246-9a42-7b1322b05cc3	b2a717df255266c1428d6ef9ef7f36db102942b3	276	478	2	125673.333750	6.542000	5233	TRUE	125673.352500	5218	6.523250	2013	15.389343	2.906270	88.634499	10.056606	88.634499	10.056606
FAR09416_pass_b2a717df_922.fast5	971df1f1-fbf1-4eb4-90f4-b5b7c21e5b4c	b2a717df255266c1428d6ef9ef7f36db102942b3	287	119	1	131294.965000	3.060000	2448	TRUE	131294.983750	2433	3.041250	1105	15.299557	3.027632	94.770729	10.397509	94.770729	10.397509
FAR09416_pass_b2a717df_1151.fast5	30fe60b9-c5f2-4d41-a562-649e3f7f577f	b2a717df255266c1428d6ef9ef7f36db102942b3	292	228	1	196562.629000	2.209750	1767	TRUE	196562.639000	1759	2.199750	829	13.879188	3.011037	93.918480	11.249763	93.918480	11.249763
FAR09416_pass_b2a717df_539.fast5	c9704056-f459-4403-85fd-7f1a5b1764d0	b2a717df255266c1428d6ef9ef7f36db102942b3	299	462	1	68783.287000	5.450500	4360	TRUE	68783.310750	4341	5.426750	2096	13.639345	3.086832	81.134651	9.033900	81.134651	9.033900
FAR09416_pass_b2a717df_218.fast5	1fcef3ae-13e4-47e9-907a-7311252f8b48	b2a717df255266c1428d6ef9ef7f36db102942b3	303	268	3	25947.332750	9.102500	7282	TRUE	25947.386500	7239	9.048750	4069	10.020366	3.134238	70.396248	9.033900	70.396248	9.033900
FAR09416_pass_b2a717df_190.fast5	b30ebdbf-d5e1-4e36-838b-6ee110a2246e	b2a717df255266c1428d6ef9ef7f36db102942b3	309	131	2	22398.681250	24.626750	19701	TRUE	22398.745000	19650	24.563000	10275	13.515533	3.162868	73.123459	9.033900	73.123459	9.033900
FAR09416_pass_b2a717df_30.fast5	2b65b695-d880-42e4-ad36-3d46c2ffe2bc	b2a717df255266c1428d6ef9ef7f36db102942b3	324	487	4	3309.650000	43.240000	34592	TRUE	3309.685000	34564	43.205000	17676	15.666300	3.183681	69.543991	9.033900	69.543991	9.033900
FAR09416_pass_b2a717df_243.fast5	5b39c41c-a9d7-4fa5-9acf-3e83aa4bab9a	b2a717df255266c1428d6ef9ef7f36db102942b3	325	364	1	29178.963000	9.213500	7370	TRUE	29178.970500	7364	9.206000	3388	16.600933	3.087099	71.248497	9.033900	71.248497	9.033900
FAR09416_pass_b2a717df_630.fast5	80d0814c-8b6c-4856-acc6-e57758269601	b2a717df255266c1428d6ef9ef7f36db102942b3	338	250	4	81553.152750	18.021500	14417	TRUE	81553.199000	14380	17.975250	6825	14.768072	3.114352	83.350517	10.056606	83.350517	10.056606
FAR09416_pass_b2a717df_148.fast5	bccf4753-f2ad-40a2-adb5-46f1febb3e74	b2a717df255266c1428d6ef9ef7f36db102942b3	349	340	1	17296.709500	2.596250	2077	TRUE	17296.824500	1985	2.481250	903	15.025437	2.955452	66.987228	10.567959	66.987228	10.567959
FAR09416_pass_b2a717df_450.fast5	aa46efbb-cb8a-412d-9677-bfadaa1d1996	b2a717df255266c1428d6ef9ef7f36db102942b3	358	103	1	56403.389500	82.316500	65853	TRUE	56403.453250	65802	82.252750	27716	12.303762	2.921072	64.430458	8.522548	64.430458	8.522548
FAR09416_pass_b2a717df_975.fast5	dc8f09f1-6d5c-4b59-9f70-9d47b334d223	b2a717df255266c1428d6ef9ef7f36db102942b3	374	134	2	141723.584750	4.972500	3978	TRUE	141723.616000	3953	4.941250	1447	13.618783	2.851101	105.850044	11.931567	105.850044	11.931567
FAR09416_pass_b2a717df_355.fast5	e01886d7-670a-4daa-9256-2a1fd8a3170c	b2a717df255266c1428d6ef9ef7f36db102942b3	375	17	4	43708.752750	1.154250	923	TRUE	43708.794000	890	1.113000	446	12.193474	3.011184	83.009613	9.545254	83.009613	9.545254
FAR09416_pass_b2a717df_927.fast5	7fbf9fe3-c60b-4872-b751-6c59f7bde3fa	b2a717df255266c1428d6ef9ef7f36db102942b3	382	391	2	132309.618500	21.376750	17101	TRUE	132309.706000	17031	21.289250	4634	12.822776	2.631293	75.339325	9.715705	75.339325	9.715705
FAR09416_pass_b2a717df_495.fast5	b1b86209-41f7-411a-b361-826cad5b2504	b2a717df255266c1428d6ef9ef7f36db102942b3	386	2	1	62646.044750	56.406000	45124	TRUE	62646.066000	45107	56.384750	21963	14.791758	3.142708	77.214279	9.715705	77.214279	9.715705
FAR09416_pass_b2a717df_644.fast5	01149c3f-3e81-409d-bd23-9ee86e97749a	b2a717df255266c1428d6ef9ef7f36db102942b3	388	11	2	83621.038500	3.316500	2653	TRUE	83621.126000	2583	3.229000	1184	13.524033	2.992096	66.475876	8.522548	66.475876	8.522548
FAR09416_pass_b2a717df_175.fast5	9ac57002-ad7b-478d-b236-d794bc3282bd	b2a717df255266c1428d6ef9ef7f36db102942b3	390	45	1	20535.458250	8.713500	6970	TRUE	20535.500750	6936	8.671000	4045	11.437223	3.223215	70.907600	9.204351	70.907600	9.204351
FAR09416_pass_b2a717df_214.fast5	8459fed3-224f-4683-835c-9602d8ef2831	b2a717df255266c1428d6ef9ef7f36db102942b3	393	386	1	25500.118500	12.600500	10080	TRUE	25500.148500	10056	12.570500	5393	10.427140	3.098268	77.214279	9.545254	77.214279	9.545254
